dataset,model,method,n_folds,folds,ece_mean,ece_std,auc_mean,auc_std,brier_mean,brier_std,n_test
algebra2005,bkt,isotonic,5,"0,1,2,3,4",0.010414,0.004358,0.751258,0.000417,0.151645,0.000144,93595
algebra2005,bkt,none,5,"0,1,2,3,4",0.012229,0.001715,0.750506,0.000335,0.152319,5e-05,93595
algebra2005,bkt,platt,5,"0,1,2,3,4",0.013561,0.00363,0.750506,0.000335,0.152377,0.000171,93595
algebra2005,bkt,temperature,5,"0,1,2,3,4",0.010773,0.001476,0.750507,0.000335,0.152312,3.9e-05,93595
algebra2005,elorasch,isotonic,5,"0,1,2,3,4",0.012043,0.006911,0.734148,0.000931,0.157108,0.000243,93595
algebra2005,elorasch,none,5,"0,1,2,3,4",0.062039,0.001469,0.734601,0.000938,0.16113,5.5e-05,93595
algebra2005,elorasch,platt,5,"0,1,2,3,4",0.016875,0.004307,0.734601,0.000938,0.157308,0.000139,93595
algebra2005,elorasch,temperature,5,"0,1,2,3,4",0.012359,0.001923,0.734601,0.000938,0.157106,0.000126,93595
algebra2005,pfa,isotonic,5,"0,1,2,3,4",0.009213,0.005809,0.737675,0.000547,0.155354,0.000122,93595
algebra2005,pfa,none,5,"0,1,2,3,4",0.034939,0.001975,0.737454,0.000597,0.15879,0.000352,93595
algebra2005,pfa,platt,5,"0,1,2,3,4",0.01459,0.005013,0.737454,0.000597,0.155809,0.000128,93595
algebra2005,pfa,temperature,5,"0,1,2,3,4",0.049417,0.004882,0.737454,0.000597,0.159017,0.00035,93595
algebra2005,pfa_recency,isotonic,5,"0,1,2,3,4",0.009311,0.005575,0.740538,0.000683,0.154821,5e-05,93595
algebra2005,pfa_recency,none,5,"0,1,2,3,4",0.037142,0.001265,0.74072,0.000666,0.16028,0.000281,93595
algebra2005,pfa_recency,platt,5,"0,1,2,3,4",0.019272,0.002022,0.74072,0.000666,0.155309,7e-05,93595
algebra2005,pfa_recency,temperature,5,"0,1,2,3,4",0.059957,0.005891,0.74072,0.000666,0.16029,0.000343,93595
assist2009,bkt,isotonic,5,"0,1,2,3,4",0.014754,0.00405,0.725999,0.000417,0.195263,0.000187,53148
assist2009,bkt,none,5,"0,1,2,3,4",0.019819,0.000827,0.72579,0.000574,0.195783,0.00012,53148
assist2009,bkt,platt,5,"0,1,2,3,4",0.01671,0.002584,0.72579,0.000574,0.195647,0.00011,53148
assist2009,bkt,temperature,5,"0,1,2,3,4",0.019733,0.00054,0.72579,0.000574,0.195802,9.6e-05,53148
assist2009,elorasch,isotonic,5,"0,1,2,3,4",0.008836,0.002579,0.710335,0.00032,0.200937,0.000163,53148
assist2009,elorasch,none,5,"0,1,2,3,4",0.062969,0.001081,0.710652,0.000351,0.205677,5.8e-05,53148
assist2009,elorasch,platt,5,"0,1,2,3,4",0.00818,0.001815,0.710652,0.000351,0.200708,9.6e-05,53148
assist2009,elorasch,temperature,5,"0,1,2,3,4",0.026149,0.000485,0.710652,0.000351,0.201898,9.6e-05,53148
assist2009,pfa,isotonic,5,"0,1,2,3,4",0.016444,0.004082,0.709191,0.000671,0.201771,8.6e-05,53148
assist2009,pfa,none,5,"0,1,2,3,4",0.026334,0.000961,0.708958,0.000666,0.203082,0.00018,53148
assist2009,pfa,platt,5,"0,1,2,3,4",0.038053,0.004078,0.708958,0.000666,0.204459,0.000633,53148
assist2009,pfa,temperature,5,"0,1,2,3,4",0.03589,0.003291,0.708958,0.000666,0.203302,0.000104,53148
assist2009,pfa_recency,isotonic,5,"0,1,2,3,4",0.01312,0.003414,0.718398,0.000392,0.198526,0.000147,53148
assist2009,pfa_recency,none,5,"0,1,2,3,4",0.021297,0.001282,0.718614,0.000352,0.199341,0.00014,53148
assist2009,pfa_recency,platt,5,"0,1,2,3,4",0.033513,0.00222,0.718614,0.000352,0.200461,0.000404,53148
assist2009,pfa_recency,temperature,5,"0,1,2,3,4",0.029341,0.002388,0.718614,0.000352,0.199561,9.8e-05,53148
assist2012,bkt,isotonic,5,"0,1,2,3,4",0.002957,0.000314,0.681094,8.4e-05,0.192141,1.3e-05,542817
assist2012,bkt,none,5,"0,1,2,3,4",0.006845,0.000336,0.680855,8.3e-05,0.192336,9e-06,542817
assist2012,bkt,platt,5,"0,1,2,3,4",0.005682,0.000503,0.680855,8.3e-05,0.192331,6e-06,542817
assist2012,bkt,temperature,5,"0,1,2,3,4",0.005651,0.000651,0.680855,8.3e-05,0.192331,8e-06,542817
assist2012,elorasch,isotonic,5,"0,1,2,3,4",0.002361,0.000459,0.670908,0.00013,0.194949,2.4e-05,542817
assist2012,elorasch,none,5,"0,1,2,3,4",0.047477,0.000854,0.670955,0.000149,0.197819,7.5e-05,542817
assist2012,elorasch,platt,5,"0,1,2,3,4",0.004492,0.000592,0.670955,0.000149,0.194959,3e-05,542817
assist2012,elorasch,temperature,5,"0,1,2,3,4",0.007283,0.000162,0.670955,0.000149,0.195,2.7e-05,542817
assist2012,pfa,isotonic,5,"0,1,2,3,4",0.002405,0.000716,0.667233,0.000114,0.19578,2.9e-05,542817
assist2012,pfa,none,5,"0,1,2,3,4",0.014031,0.000416,0.666759,0.000103,0.1965,1.8e-05,542817
assist2012,pfa,platt,5,"0,1,2,3,4",0.015695,0.001025,0.666759,0.000103,0.196536,1e-05,542817
assist2012,pfa,temperature,5,"0,1,2,3,4",0.014607,0.000488,0.666759,0.000103,0.196512,8e-06,542817
assist2012,pfa_recency,isotonic,5,"0,1,2,3,4",0.002486,0.000643,0.673331,4.1e-05,0.194484,1e-05,542817
assist2012,pfa_recency,none,5,"0,1,2,3,4",0.00975,0.00051,0.673225,6.5e-05,0.194821,1.1e-05,542817
assist2012,pfa_recency,platt,5,"0,1,2,3,4",0.01131,0.000836,0.673225,6.5e-05,0.194846,1.4e-05,542817
assist2012,pfa_recency,temperature,5,"0,1,2,3,4",0.010283,0.000527,0.673225,6.5e-05,0.19483,6e-06,542817
assist2015,bkt,isotonic,5,"0,1,2,3,4",0.006002,0.000643,0.699215,0.000127,0.176948,3.5e-05,138458
assist2015,bkt,none,5,"0,1,2,3,4",0.006367,0.00082,0.699032,0.000142,0.177024,2.2e-05,138458
assist2015,bkt,platt,5,"0,1,2,3,4",0.006002,0.002143,0.699032,0.000142,0.177016,2.8e-05,138458
assist2015,bkt,temperature,5,"0,1,2,3,4",0.005947,0.002281,0.699032,0.000142,0.177024,3.8e-05,138458
assist2015,elorasch,isotonic,5,"0,1,2,3,4",0.003958,0.000383,0.674638,0.000237,0.182278,2.4e-05,138458
assist2015,elorasch,none,5,"0,1,2,3,4",0.06321,0.000753,0.674841,0.000108,0.187894,6.8e-05,138458
assist2015,elorasch,platt,5,"0,1,2,3,4",0.011382,0.000637,0.674841,0.000108,0.182456,2.5e-05,138458
assist2015,elorasch,temperature,5,"0,1,2,3,4",0.021957,0.000712,0.674841,0.000108,0.182803,4.1e-05,138458
assist2015,pfa,isotonic,5,"0,1,2,3,4",0.00499,0.002324,0.683678,0.000385,0.180268,7.9e-05,138458
assist2015,pfa,none,5,"0,1,2,3,4",0.007275,0.000481,0.682958,0.000433,0.180816,6.8e-05,138458
assist2015,pfa,platt,5,"0,1,2,3,4",0.009435,0.002079,0.682958,0.000433,0.180849,4.3e-05,138458
assist2015,pfa,temperature,5,"0,1,2,3,4",0.008941,0.002403,0.682958,0.000433,0.180835,4.7e-05,138458
